transcript_id,1BS,1DS,2BS,2DS,3BS,3DS
g22426.t1,125,97,177,47,141,80
g22427.t1,173,30,69,209,75,156
g22424.t1,13958,5177,10118,12258,10432,12463
g22428.t1,419,168,956,777,564,677
g22430.t1,10,0,0,17,0,8
g22431.t1,37,17,25,75,16,38
g22471.t1,161,47,72,66,94,138
g22470.t1,3363,2347,3379,3817,2864,3607
g22472.t1,2108,1552,2946,2876,2471,2705
g22473.t1,1176,601,1317,639,959,1133
g22474.t1,11,19,4,4,2,44
g22458.t1,0,0,3,2,2,0
g22461.t1,0,0,0,0,0,0
g22463.t1,0,0,0,0,0,0
g22464.t1,0,0,0,0,0,0
g22432.t1,222,199,332,198,117,211
g22433.t1,1842,765,1582,1402,1196,1247
g22434.t1,42,9,49,19,25,21
g22435.t1,311,4,283,259,96,48
g22436.t1,11070,883,8530,3435,5321,3030
g22437.t1,711,1486,986,1521,881,1495
g22438.t1,149,213,336,356,306,196
g22439.t1,397,194,325,95,129,679
g22440.t1,214,171,231,387,158,200
g22442.t1,101,107,119,81,83,106
g22443.t1,535,334,500,370,410,347
g22444.t1,817,725,1299,1817,958,1320
g22446.t1,597,419,620,680,622,826
g22447.t1,653,420,884,569,720,843
g22451.t1,1241,1159,1200,1255,2178,1055
g22452.t1,136211,82250,129387,76350,95757,104434
g22454.t1,42009,24570,33280,23381,29313,31248
g22455.t1,59232,35388,44134,31092,32713,49596
g22456.t1,306,168,132,192,179,241
g22457.t1,4779,1837,4225,4279,2692,4163
g22460.t1,8,13,0,3,4,3
g22462.t1,287,213,329,418,252,383
g22465.t1,7,2,0,0,0,0
g22466.t1,20,29,36,22,36,43
g22467.t1,949,781,769,1392,567,867
g22468.t1,381,380,661,728,645,510
g22469.t1,2911,1635,1454,3386,1191,3756
g22478.t1,52,86,55,49,20,69
g22480.t1,1107,894,1755,1247,1241,1184
g22481.t1,16,13,33,20,15,0
g22482.t1,1542,656,1507,1622,1099,1262
g22483.t1,1588,557,1436,1870,1117,977
g22484.t1,117,57,200,168,193,177
g22485.t1,46,11,15,35,12,34
g22486.t1,676,571,546,1050,637,458
g22487.t1,3379,1969,3431,3414,2673,3824
g22488.t1,746,770,1136,887,1126,1128
g22489.t1,24,73,51,37,74,22
g22490.t1,305,187,308,260,295,418
g22496.t1,129,35,117,130,83,100
g22493.t1,11553,6972,8234,14674,6966,11204
g22494.t1,563,441,742,634,778,583
g22495.t1,6798,4549,9001,8856,6659,6860
g22498.t1,1570,757,1604,1047,895,1591
g22500.t1,1915,1352,1833,1742,1203,1740
g22501.t1,2688,1680,2435,2541,1862,2209
g22505.t1,1,0,0,0,0,0
g22504.t1,6963,4582,7510,5226,5504,4574
g22507.t1,210,65,209,139,137,100
g22513.t1,15,2,0,7,6,0
g22508.t1,284,105,426,253,312,276
g22509.t1,1025,588,1188,516,801,969
g22519.t1,0,0,13,15,3,17
g22518.t1,1515,771,1381,1278,1364,1518
g22521.t1,125,62,95,238,82,181
g22522.t1,7,10,3,11,1,14
g22523.t1,9,20,12,30,5,36
g22524.t1,20,111,22,310,49,313
g22525.t1,24,24,26,36,21,37
g22526.t1,91,110,116,203,119,249
g22527.t1,496,351,748,701,575,836
g22528.t1,261,204,210,356,195,304
g22529.t1,3772,1979,1951,3326,1283,1915
g22530.t1,5550,3157,7820,4485,4704,5411
g22531.t1,139,106,185,188,165,212
g22532.t1,665,549,809,822,774,755
g22533.t1,894,637,2343,540,2056,1468
g22534.t1,1184,1016,1206,1209,1207,1079
g22535.t1,795,422,771,496,560,628
g22538.t1,222,161,264,295,214,242
g22539.t1,7,0,4,2,0,5
g22540.t1,584,95,204,92,142,668
g22541.t1,199,114,324,195,191,232
g22542.t1,2525,692,1627,1453,1295,1291
g22543.t1,838,609,842,1113,654,1227
g22544.t1,1073,707,926,1055,660,1010
g22545.t1,1601,1113,1502,1495,1025,1376
g22546.t1,69,45,176,111,75,173
g22547.t1,45,50,23,40,34,64
g22548.t1,71,38,117,81,49,88
g22549.t1,9,84,166,177,87,168
g22550.t1,222,150,204,217,229,201
g22555.t1,119,0,167,38,101,73
g22557.t1,64,58,203,107,145,199
g22551.t1,2418,1230,2775,1975,2149,2562
g22552.t1,8,3,19,4,12,10
g22553.t1,1302,993,1223,1443,1032,1348
g22554.t1,1200,423,1541,1827,928,1179
g22559.t1,707,229,307,625,332,368
g22562.t1,0,1,4,0,0,1
g22560.t1,323,218,491,52,507,230
g22561.t1,1060,1004,2897,472,2850,980
g22563.t1,431,146,327,645,239,450
g22564.t1,243,157,396,1310,233,246
g22566.t1,223,252,484,357,343,396
g22567.t1,3001,1758,1187,2301,997,1080
g22568.t1,722,413,571,497,465,819
g22569.t1,469,263,245,366,281,310
g22570.t1,743,352,363,530,340,472
g22571.t1,1854,1448,1699,1852,1374,1975
g22572.t1,317,196,285,427,202,585
g22581.t1,1011,549,660,554,527,1335
g22578.t1,0,0,0,0,0,0
g22573.t1,2899,2627,2424,3967,1877,3661
g22574.t1,6202,13176,3883,10111,2807,9310
g22576.t1,17,27,27,40,19,34
g22577.t1,57,180,41,236,38,50
g22579.t1,926,2349,566,796,348,294
g22580.t1,727,668,173,123,123,204
g22582.t1,1665,1128,1887,2481,1477,2113
g22584.t1,2500,1455,1985,1771,1660,2545
g22585.t1,386,325,416,366,292,506
g22586.t1,314,252,456,386,412,440
g22587.t1,50,136,102,66,90,138
g22588.t1,6335,6364,5574,6330,4707,4735
g22589.t1,21,41,76,80,55,32
g22590.t1,6,0,16,6,1,0
g22591.t1,215,259,188,43,128,18
g22592.t1,17,5,35,8,35,30
g22593.t1,1,0,1,0,0,0
g22594.t1,84,116,84,119,58,146
g22595.t1,525,395,456,397,352,493
g22596.t1,214,160,253,123,137,131
g22597.t1,377,230,8,225,0,293
g22598.t1,112,172,214,310,257,739
g22602.t1,34,14,16,44,9,85
g22604.t1,196,83,184,80,159,127
g22603.t1,1627,995,1885,1388,1079,1538
g22608.t1,24,36,15,73,6,94
g22612.t1,27,13,96,19,88,93
g22610.t1,1059,816,1523,1486,969,1570
g22611.t1,213,118,316,239,209,191
g22618.t1,365,325,464,308,341,597
g22616.t1,1071,711,1059,1455,744,1192
g22617.t1,1360,1109,1551,3033,1024,1617
g22619.t1,191,60,93,156,101,118
g22620.t1,12,11,6,21,0,3
g22622.t1,1327,1108,1592,990,1022,1432
g22623.t1,449,249,688,412,482,786
g22624.t1,2342,1425,2313,1889,1734,1996
g22625.t1,1178,1261,2186,1829,1574,2116
g22626.t1,1683,724,2113,1155,1852,2064
g22627.t1,2167,799,2696,2507,2214,2275
g22628.t1,684,536,1279,796,780,924
g22630.t1,37,60,91,30,82,41
g22631.t1,1048,459,505,1114,766,925
g22663.t1,251,135,100,79,97,215
g22636.t1,0,0,0,0,0,0
g22637.t1,0,0,0,0,0,0
g22640.t1,0,0,0,5,0,4
g22641.t1,0,0,0,0,0,1
g22643.t1,0,2,0,6,0,1
g22651.t1,0,0,0,0,0,4
g22656.t1,0,0,0,0,0,0
g22658.t1,0,0,0,0,0,0
g22634.t1,5,6,9,8,3,3
g22635.t1,1,1,3,1,2,2
g22644.t1,59,17,33,55,41,72
g22645.t1,113,0,51,39,121,102
g22646.t1,54,31,46,60,15,52
g22647.t1,224,65,80,146,51,112
g22648.t1,3,5,0,2,2,6
g22649.t1,10,2,1,6,0,3
g22650.t1,16,0,2,0,0,0
g22654.t1,6,0,9,6,4,5
g22655.t1,70,7,0,74,12,0
g22662.t1,2538,1068,3036,2393,1928,703
g22664.t1,2766,5029,1482,6193,790,429
g22665.t1,24,62,59,65,11,19
g22666.t1,4,0,0,3,10,24
g22674.t1,3065,2428,4351,3056,3081,2820
g22675.t1,1052,937,1411,1110,1062,1001
g22676.t1,4397,3114,5822,5235,5572,8482
g22677.t1,3474,2661,1570,5193,1184,1890
g22678.t1,547,482,541,439,107,657
g22680.t1,569,236,392,258,440,432
g22681.t1,773,268,1029,841,865,639
g22682.t1,11,0,0,0,0,0
g22687.t1,152,43,374,146,301,195
g22688.t1,90,31,24,31,18,18
g22689.t1,118,248,46,70,38,65
g22690.t1,5267,1025,2577,4490,2220,4123
g22691.t1,3401,559,1459,2082,1364,1611
g22692.t1,107,19,111,43,45,40
g22693.t1,542,199,343,480,299,507
g22705.t1,38,19,8,25,16,52
g22706.t1,295,104,93,180,106,321
g22707.t1,80,43,17,89,27,151
g22711.t1,1,0,0,0,1,0
g22712.t1,1,0,0,0,1,0
g22713.t1,20,15,10,15,31,41
g22694.t1,0,0,0,0,0,0
g22698.t1,0,6,0,8,0,4
g22701.t1,0,4,0,69,0,29
g22704.t1,0,0,0,9,0,5
g22696.t1,7753,914,2971,7563,2196,6054
g22699.t1,212,70,7,339,17,225
g22700.t1,5613,658,1767,8173,1176,7230
g22702.t1,2,0,0,2,0,4
g22703.t1,3,0,0,0,0,4
g22715.t1,0,11,17,26,25,54
g22718.t1,0,0,4,0,0,0
g22717.t1,4,0,2,10,14,2
g22720.t1,8,0,6,14,0,9
g22721.t1,1,0,0,11,1,3
g22723.t1,11,5,4,4,9,3
g22724.t1,5,1,1,3,1,6
g22725.t1,0,0,4,5,0,0
g22726.t1,15,5,2,0,0,2
g22727.t1,59,19,38,39,97,48
g22730.t1,1,0,0,0,0,2
g22734.t1,702,605,1173,1158,1048,667
g22736.t1,0,0,0,0,0,0
g22737.t1,0,0,0,0,0,0
