gene_id,1BS,1DS,2BS,2DS,3BS,3DS
g65910,19,29,78,24,80,28
g65911,1,29,6,9,6,12
g65912,3,51,12,9,14,17
g65913,434,54,682,97,294,298
g65914,32,16,138,105,86,46
g65919,26,1,4,11,0,5
g65921,5,4,0,2,1,1
g65922,14,13,0,2,3,6
g65923,39,28,7,58,23,14
g65924,3339,2959,2731,2434,2270,2833
g65925,339,168,278,354,193,340
g65927,28,5,11,15,0,14
g65932,0,2,7,10,0,0
g65935,1527,764,1531,1934,991,1621
g65936,4464,627,1510,1229,1080,1300
g65939,1320,727,685,1112,671,780
g65955,44,0,12,11,15,8
g65941,0,0,0,0,0,0
g65942,0,0,0,0,0,0
g65946,0,10,0,13,10,16
g65948,0,0,1,3,0,2
g65949,0,0,0,0,0,8
g65944,6,6,6,7,4,3
g65945,14,0,10,20,0,17
g65947,21,3,82,27,44,34
g65950,3,0,0,0,0,0
g65952,41,87,28,25,17,32
g65953,80,118,216,234,151,319
g65956,350,199,568,673,386,707
g65957,623,310,543,902,402,1014
g65959,70,102,81,46,49,67
g65960,152,192,166,119,73,121
g65962,319,198,318,489,251,564
g65965,11377,6458,10649,9905,7110,10769
g65966,1191,923,1043,1113,836,871
g65969,1584,742,1376,1189,1126,1401
g65973,0,0,0,0,0,0
g65970,218,77,172,219,137,180
g65971,482,373,605,564,444,678
g65972,1381,692,1260,909,763,1603
g65974,124,43,97,68,77,120
g65983,2,0,0,2,0,0
g65975,996,779,654,290,548,1336
g65987,0,4,0,0,0,0
g65986,19,4,0,3,4,1
g65994,2,0,0,2,0,3
g65996,2,0,0,1,0,3
g65997,8,0,0,3,0,0
g65999,4,3,4,0,10,4
g66000,2,0,0,4,2,0
g66002,12,14,3,5,2,8
g66004,19,37,51,10,42,19
g66007,561,225,83,212,72,45
g66008,4,7,0,0,2,4
g66009,15,0,6,2,4,0
g66010,635,281,96,393,55,80
g66030,59,53,58,0,66,6
g66013,0,0,0,0,0,0
g66014,0,0,0,0,0,1
g66016,0,0,37,33,28,0
g66015,13,0,0,0,0,0
g66017,39,29,98,0,35,25
g66033,150,78,189,98,99,99
g66034,71,44,82,37,58,37
g66036,0,7,18,7,5,12
g66037,29,21,105,44,83,21
g66039,26,84,116,249,46,272
g66040,18,119,155,362,104,267
g66042,1015,395,558,41,427,53
g66047,633,412,769,903,469,713
g66048,352,190,453,528,301,641
g66050,620,388,683,421,428,651
g66051,17,0,3,0,16,0
g66053,230,75,178,193,97,320
g66054,374,58,297,193,129,482
g66055,13,12,11,13,11,25
g66056,100,298,305,131,260,121
g66057,509,77,190,113,74,325
g66058,63,11,8,8,8,15
g66066,0,6,0,2,3,0
g66059,562,97,472,198,304,247
g66060,6,4,27,11,8,5
g66061,581,91,490,136,368,179
g66062,16,0,13,6,19,9
g66085,28,10,29,13,36,0
g66068,0,0,0,0,0,0
g66075,0,0,0,0,0,0
g66071,36,13,3,1,1,11
g66078,6,0,0,0,0,0
g66088,851,359,458,0,252,0
g66089,375,116,243,0,148,0
g66090,261,127,122,0,66,0
g66104,4,7,7,25,19,0
g66100,0,9,21,4,9,6
g66098,1111,756,437,688,354,1244
g66099,890,835,482,800,457,823
g66103,4001,2869,3594,4857,3467,3257
g66105,500,384,662,484,545,813
g66106,1243,675,2331,931,1690,1519
g66110,170,135,181,331,162,169
g66109,4537,2736,4962,5141,3895,4123
g66111,276,292,341,334,301,372
g66112,6425,3748,5359,7824,3891,7340
g66113,2609,1298,2314,3175,1280,2379
g66114,1491,1145,1483,1371,891,1456
g66115,587,25,132,676,186,185
g66116,906,255,433,1018,352,455
g66123,68,42,173,25,104,95
g66118,0,0,0,0,0,0
g66117,149,156,15,0,28,0
g66119,4,10,0,0,0,0
g66120,10,0,0,0,0,0
g66121,3,0,4,0,0,0
g66122,1128,522,400,4,518,2
g66124,10,9,5,11,5,19
g66127,8,0,0,0,0,0
g66128,2,0,0,0,0,2
g66131,1,0,0,0,0,0
g66132,2,1,1,2,1,2
g66134,573,398,291,938,198,1129
g66148,0,8,0,0,4,0
g66149,0,0,0,0,0,0
g66136,131,50,73,0,79,0
g66137,6,3,5,0,10,0
g66138,11,3,9,0,6,0
g66140,2,0,1,0,0,0
g66142,647,155,275,0,201,0
g66143,2,0,9,0,0,0
g66144,10,1,23,0,9,0
g66145,9,3,0,0,3,0
g66146,7,0,17,0,2,0
g66147,22,14,17,0,6,0
g66150,50,20,44,0,33,3
g66151,12,13,11,3,14,1
g66152,657,145,293,0,225,0
g66158,15,25,12,16,11,14
g66159,202,130,317,49,257,115
g66160,18,42,115,31,120,129
g66161,289,262,261,296,249,326
g66163,2,0,0,4,1,0
g66162,1048,1273,1740,1042,1635,1711
g66165,123,32,36,49,32,67
g66164,4820,2304,4206,2958,3512,2546
g66166,547,207,223,302,129,317
g66167,85,33,78,80,84,148
g66168,64,42,147,104,111,111
g66169,309,186,296,215,194,374
g66170,975,534,1314,1022,1041,940
g66174,769,491,642,595,628,752
g66171,3019,1250,4016,2153,3014,3440
g66172,3908,2212,3312,4706,2672,3714
g66173,662,693,1468,1100,1129,1013
g66175,140,164,440,260,353,192
g66176,949,711,1070,1026,811,759
g66177,135,160,245,256,263,174
g66179,397,12,74,36,33,171
g66178,7243,4604,7230,6254,6273,6743
g66180,1370,1583,1642,1334,1346,1517
g66181,12,0,6,7,5,4
g66182,1179,851,1745,2715,1233,2903
g66183,75,99,182,132,170,235
g66184,803,184,221,867,246,152
g66185,1607,418,1124,521,951,612
g66187,56,33,44,13,50,21
g66188,952,493,750,831,602,799
g66189,448,120,381,345,294,343
g66190,786,383,1227,625,863,789
g66191,278,633,1265,1773,793,2197
g66192,1364,429,1522,824,1161,1143
g66193,224,0,33,410,31,198
g66194,118,40,20,110,11,80
g66195,681,563,701,846,511,1103
g66196,3614,2948,4297,3051,3461,3965
g66203,9,0,0,0,0,0
g66198,384,299,260,721,284,597
g66199,3079,2198,2322,4013,2019,2835
g66200,181,143,250,121,172,110
g66206,48,98,96,78,82,76
g66204,2249,1967,2819,2439,1859,3472
g66205,482,373,289,237,311,500
g66207,334,368,835,671,586,574
g66208,137,61,295,170,192,357
g66210,2143,900,1943,2293,1138,2145
